nama,email,nis,kelas,no_hp,role,password
Andi Pratama,andi.pratama2601001@smkn1.local,2601001,X RPL 1,081234560001,siswa,password
Budi Santoso,budi.santoso2601002@smkn1.local,2601002,X MP 1,081234560002,siswa,password
Citra Lestari,citra.lestari2601003@smkn1.local,2601003,X AK 1,081234560003,siswa,password
Deni Saputra,deni.saputra2601004@smkn1.local,2601004,X BD 1,081234560004,siswa,password
Eka Putri,eka.putri2601005@smkn1.local,2601005,X LP 1,081234560005,siswa,password
Fajar Nugroho,fajar.nugroho2601006@smkn1.local,2601006,XI RPL 1,081234560006,siswa,password
Gita Maharani,gita.maharani2601007@smkn1.local,2601007,XI MP 1,081234560007,siswa,password
Hendra Wijaya,hendra.wijaya2601008@smkn1.local,2601008,XI AK 1,081234560008,siswa,password
Indah Sari,indah.sari2601009@smkn1.local,2601009,XI BD 1,081234560009,siswa,password
Joko Susilo,joko.susilo2601010@smkn1.local,2601010,XI LP 1,081234560010,siswa,password
Kirana Ayu,kirana.ayu2601011@smkn1.local,2601011,XII RPL 1,081234560011,siswa,password
Luthfi Ramadhan,luthfi.ramadhan2601012@smkn1.local,2601012,XII MP 1,081234560012,siswa,password
Maya Anggraini,maya.anggraini2601013@smkn1.local,2601013,XII AK 1,081234560013,siswa,password
Nanda Prakoso,nanda.prakoso2601014@smkn1.local,2601014,XII BD 1,081234560014,siswa,password
Oki Setiawan,oki.setiawan2601015@smkn1.local,2601015,XII LP 1,081234560015,siswa,password
Putri Amelia,putri.amelia2601016@smkn1.local,2601016,X RPL 2,081234560016,siswa,password
Qori Nabila,qori.nabila2601017@smkn1.local,2601017,X MP 2,081234560017,siswa,password
Rafi Hidayat,rafi.hidayat2601018@smkn1.local,2601018,X AK 2,081234560018,siswa,password
Salsa Azzahra,salsa.azzahra2601019@smkn1.local,2601019,X BD 2,081234560019,siswa,password
Teguh Firmansyah,teguh.firmansyah2601020@smkn1.local,2601020,X LP 2,081234560020,siswa,password
Umi Khairunnisa,umi.khairunnisa2601021@smkn1.local,2601021,XI RPL 2,081234560021,siswa,password
Vina Oktaviani,vina.oktaviani2601022@smkn1.local,2601022,XI MP 2,081234560022,siswa,password
Wahyu Kurniawan,wahyu.kurniawan2601023@smkn1.local,2601023,XI AK 2,081234560023,siswa,password
Xaverius Aditya,xaverius.aditya2601024@smkn1.local,2601024,XI BD 2,081234560024,siswa,password
Yuni Kartika,yuni.kartika2601025@smkn1.local,2601025,XI LP 2,081234560025,siswa,password
Zaki Maulana,zaki.maulana2601026@smkn1.local,2601026,XII RPL 2,081234560026,siswa,password
Aulia Rahma,aulia.rahma2601027@smkn1.local,2601027,XII MP 2,081234560027,siswa,password
Bagas Pamungkas,bagas.pamungkas2601028@smkn1.local,2601028,XII AK 2,081234560028,siswa,password
Chandra Pratama,chandra.pratama2601029@smkn1.local,2601029,XII BD 2,081234560029,siswa,password
Dewi Anjani,dewi.anjani2601030@smkn1.local,2601030,XII LP 2,081234560030,siswa,password
